Provinsi ,Tahun ,Tech_X1,Pend_X2,Bud_X3,Wis_X4,UMKM_Y1,EKRAF_Y2
Sumsel ,2016,3.80,7.83,14,"5,178,701","6,465,792","342,767"
Sumsel ,2017,4.63,7.99,17,"5,358,400","8,471,336","336,173"
Sumsel ,2018,4.81,8.00,24,"5,257,310","12,603,791","329,578"
Sumsel ,2019,5.30,8.18,32,"15,066,778","8,907,559","345,578"
Sumsel ,2020,5.64,8.24,34,"5,830,094","7,547,356","344,638"
Sumsel ,2021,5.64,8.30,43,"6,827,337","10,381,992","396,473"
Sumsel ,2022,5.76,8.37,44,"8,492,364","11,210,305","408,361"
Bengkulu               ,2013,4.26,8.09,6,"1,863,002","1,567,289","45,263"
Bengkulu               ,2014,4.00,8.28,6,"1,871,672","1,489,214","48,019"
Bengkulu               ,2015,3.72,8.29,9,"1,900,358","1,869,279","51,248"
Bengkulu               ,2016,3.93,8.37,9,"2,021,363","2,280,722","78,847"
Bengkulu               ,2017,4.78,8.47,10,"2,270,245","2,692,164","78,547"
Bengkulu               ,2018,4.88,8.61,10,"2,154,928","2,959,019","62,246"
Bengkulu               ,2019,5.50,8.73,13,"4,098,593","2,695,106","94,203"
Bengkulu               ,2020,5.85,8.84,15,"1,520,357","2,172,019","83,508"
Bengkulu               ,2021,5.85,8.87,19,"1,770,693","2,383,235","86,449"
Bengkulu               ,2022,5.95,8.91,21,"2,113,649","3,414,901","81,036"
Lampung              ,2013,3.62,7.32,8,"6,667,692","11,251,267","230,923"
Lampung              ,2014,3.34,7.48,9,"6,698,722","17,506,704","251,645"
Lampung              ,2015,3.01,7.56,10,"6,801,389","11,055,956","293,688"
Lampung              ,2016,3.32,7.63,15,"6,241,420","11,690,084","326,743"
Lampung              ,2017,4.20,7.79,18,"5,943,052","12,324,211","338,906"
Lampung              ,2018,4.50,7.82,31,"7,281,404","12,147,268","351,069"
Lampung              ,2019,5.15,7.92,48,"17,022,530","14,654,051","406,462"
Lampung              ,2020,5.58,8.05,51,"8,525,722","10,959,700","386,041"
Lampung              ,2021,5.58,8.08,53,"9,176,866","11,098,930","441,038"
Lampung              ,2022,5.63,8.18,55,"10,925,704","16,079,738","441,963"
Babel,2013,4.09,7.32,10,"1,821,814","1,956,474","40,342"
Babel,2014,3.90,7.35,11,"1,830,292","1,263,165","45,697"
Babel,2015,3.70,7.46,14,"1,858,345","771,083","52,702"
Babel,2016,4.00,7.62,21,"3,408,139","1,939,357","65,068"
Babel,2017,4.70,7.78,23,"4,060,654","3,107,630","65,854"
Babel,2018,4.89,7.84,27,"5,307,576","2,673,988","67,098"
Babel,2019,5.54,7.98,31,"2,429,147","2,327,662","73,876"
Babel,2020,5.71,8.06,45,"966,097","2,521,356","64,521"
Babel,2021,5.71,8.08,45,"1,063,989","2,282,524","70,184"
Babel,2022,5.82,8.11,48,"1,578,407","2,142,483","78,568"
Kepri,2013,6.46,9.63,4,"1,425,231","1,618,479","116,897"
Kepri,2014,6.00,9.64,6,"1,431,864","2,127,700","101,447"
Kepri,2015,5.15,9.65,9,"1,453,809","674,325","91,628"
Kepri,2016,5.59,9.67,11,"2,891,123","2,602,320","111,117"
Kepri,2017,5.89,9.79,13,"3,547,971","4,530,315","118,026"
Kepri,2018,6.14,9.81,19,"4,227,770","3,420,708","124,934"
Kepri,2019,6.46,9.99,35,"4,279,813","3,066,953","122,757"
Kepri,2020,6.58,10.12,51,"745,581","1,556,142","142,528"
Kepri,2021,6.58,10.18,78,"835,672","2,046,745","163,559"
Kepri,2022,6.69,10.37,82,"1,511,354","2,962,328","216,676"
DKIJ,2013,8.78,10.47,2,"17,097,669","20,606,588","1,022,176"
DKIJ,2014,8.00,10.54,10,"17,177,239","20,785,552","1,083,947"
DKIJ,2015,7.17,10.70,15,"17,440,505","12,678,657","1,052,403"
DKIJ,2016,7.41,10.88,23,"13,779,837","29,505,925","1,003,698"
DKIJ,2017,6.95,11.02,24,"15,707,590","46,333,193","1,005,103"
DKIJ,2018,7.14,11.05,33,"17,112,629","16,322,737","1,006,508"
DKIJ,2019,7.46,11.06,56,"64,617,819","25,661,140","945,921"
DKIJ,2020,7.66,11.13,57,"30,914,200","22,070,090","998,923"
DKIJ,2021,7.66,11.17,62,"37,634,468","20,935,193","1,089,729"
DKIJ,2022,7.64,11.31,66,"56,008,041","27,472,708","1,167,869"
Jabar,2013,4.64,7.58,4,"47,374,586","106,600,000","3,504,153"
Jabar,2014,4.00,7.71,7,"47,595,060","98,503,832","3,433,087"
Jabar,2015,4.06,7.86,10,"48,324,526","130,500,000","3,722,822"
Jabar,2016,4.51,7.95,18,"44,611,468","126,400,000","3,808,368"
Jabar,2017,5.38,8.14,23,"44,135,344","122,300,000","3,908,368"
Jabar,2018,5.63,8.15,49,"52,704,428","83,953,178","4,168,861"
Jabar,2019,6.00,8.37,61,"151,596,961","99,521,381","4,153,055"
Jabar,2020,6.08,8.55,72,"89,881,532","121,200,000","4,413,407"
Jabar,2021,6.08,8.61,113,"89,881,532","101,000,000","5,091,580"
Jabar,2022,6.16,8.78,126,"123,531,743","158,500,000","5,572,995"
Jateng,2013,4.14,6.80,2,"38,799,148","113,300,000","2,853,360"
Jateng,2014,3.80,6.93,2,"38,979,713","76,338,235","2,880,915"
Jateng,2015,3.63,7.03,3,"39,577,130","140,000,000","3,050,542"
Jateng,2016,4.08,7.15,10,"42,433,954","117,500,000","3,146,702"
Jateng,2017,4.99,7.27,13,"40,987,646","94,899,637","3,346,702"
Jateng,2018,5.17,7.35,22,"45,281,856","118,800,000","3,616,999"
Jateng,2019,5.74,7.53,31,"87,420,826","79,219,116","3,658,732"
Jateng,2020,5.82,7.69,45,"132,432,379","83,686,884","3,521,605"
Jateng,2021,5.82,7.75,96,"147,674,185","108,700,000","3,996,946"
Jateng,2022,5.83,7.93,112,"110,345,715","109,100,000","4,369,878"
DIY,2013,6.21,8.72,4,"9,787,589","12,435,982","363,212"
DIY,2014,6.00,8.84,8,"9,833,139","9,603,104","373,257"
DIY,2015,5.61,9.00,12,"9,983,846","6,733,342","356,208"
DIY,2016,6.12,9.12,15,"13,081,408","9,397,807","391,044"
DIY,2017,6.27,9.19,33,"13,759,896","12,062,271","416,433"
DIY,2018,6.66,9.32,60,"14,820,227","9,751,595","441,821"
DIY,2019,7.09,9.38,90,"20,407,076","14,006,712","476,529"
DIY,2020,7.14,9.55,104,"19,591,482","8,685,259","429,851"
DIY,2021,7.14,9.64,130,"22,834,000","8,745,011","482,882"
DIY,2022,7.25,9.75,151,"25,743,590","9,665,366","547,028"
Jatim,2013,4.33,6.90,9,"43,121,437","92,816,656","2,437,676"
Jatim,2014,4.00,7.05,13,"43,322,117","102,200,000","2,459,741"
Jatim,2015,3.71,7.14,17,"43,986,091","116,600,000","2,615,857"
Jatim,2016,4.27,7.23,23,"44,379,219","116,200,000","2,752,814"
Jatim,2017,5.14,7.34,28,"44,485,454","115,900,000","2,910,496"
Jatim,2018,5.20,7.39,38,"54,484,015","88,227,746","3,068,178"
Jatim,2019,5.73,7.59,56,"85,483,205","84,938,207","3,060,176"
Jatim,2020,5.85,7.78,62,"127,101,662","78,011,694","3,203,426"
Jatim,2021,5.85,7.88,78,"159,077,924","84,619,442","3,524,217"
Jatim,2022,5.91,8.03,87,"200,548,137","106,100,000","3,863,866"
Banten                ,2013,4.90,8.17,8,"6,697,417","6,000,419","965,046"
Banten                ,2014,4.60,8.19,8,"6,728,586","11,464,774","1,014,690"
Banten                ,2015,4.30,8.27,10,"6,831,711","25,204,272","993,698"
Banten                ,2016,4.82,8.37,11,"8,837,719","23,863,988","957,465"
Banten                ,2017,5.50,8.53,16,"10,194,827","22,523,703","1,001,292"
Banten                ,2018,5.80,8.62,19,"10,354,240","23,293,456","1,045,118"
Banten                ,2019,5.99,8.74,19,"41,807,537","18,597,531","1,076,934"
Banten                ,2020,6.13,8.89,21,"28,841,977","22,325,596","1,116,265"
Banten                ,2021,6.13,8.93,21,"36,733,930","14,615,831","1,237,005"
Banten                ,2022,6.29,9.13,25,"38,597,642","18,091,937","1,489,871"
Bali                   ,2013,5.50,8.10,10,"8,500,442","14,040,798","420,688"
Bali                   ,2014,5.10,8.11,12,"8,540,002","15,167,489","436,931"
Bali                   ,2015,4.97,8.26,14,"8,670,889","14,732,925","465,265"
Bali                   ,2016,5.63,8.36,17,"9,090,015","15,802,145","557,126"
Bali                   ,2017,5.98,8.55,24,"9,225,349","16,871,365","543,085"
Bali                   ,2018,6.23,8.65,37,"7,874,018","11,956,022","529,044"
Bali                   ,2019,6.57,8.84,43,"18,064,134","15,063,750","575,634"
Bali                   ,2020,6.49,8.95,44,"8,819,530","11,875,137","507,094"
Bali                   ,2021,6.49,9.06,53,"9,985,110","11,639,351","559,195"
Bali                   ,2022,6.64,9.39,62,"14,259,714","15,595,619","619,131"
NTB,2013,3.36,6.54,5,"2,499,582","5,833,086","156,490"
NTB,2014,3.00,6.67,6,"2,511,215","32,148,440","183,563"
NTB,2015,2.87,6.71,7,"2,549,704","17,828,489","198,101"
NTB,2016,3.29,6.79,7,"3,133,118","15,393,125","210,120"
NTB,2017,4.27,6.90,8,"4,164,937","12,957,761","220,120"
NTB,2018,4.38,7.03,9,"3,291,147","8,272,227","272,793"
NTB,2019,5.08,7.27,11,"8,579,404","8,398,353","313,925"
NTB,2020,5.39,7.31,15,"3,372,698","6,791,070","305,898"
NTB,2021,5.39,7.38,15,"3,138,788","10,244,830","349,898"
NTB,2022,5.59,7.61,15,"4,091,259","15,904,733","331,549"
NTT,2013,3.11,6.76,4,"2,733,256","2,649,314","136,667"
NTT,2014,2.70,6.85,6,"2,745,976","6,837,608","149,067"
NTT,2015,2.46,6.93,9,"2,788,062","3,009,003","134,428"
NTT,2016,2.75,7.02,18,"2,712,365","4,670,894","144,554"
NTT,2017,3.87,7.15,19,"2,784,072","6,332,785","149,554"
NTT,2018,3.77,7.30,24,"2,897,832","5,389,772","194,366"
NTT,2019,4.49,7.55,29,"7,272,535","4,081,402","233,033"
NTT,2020,5.00,7.63,30,"2,293,682","3,731,412","211,640"
NTT,2021,5.00,7.69,31,"3,108,815","5,695,124","250,398"
NTT,2022,5.13,7.70,32,"3,849,353","4,600,287","295,263"
Kalbar,2013,3.71,6.69,8,"2,459,995","3,689,401","109,651"
Kalbar,2014,3.40,6.83,9,"2,471,443","4,549,476","121,214"
Kalbar,2015,3.18,6.93,9,"2,509,323","5,584,294","131,815"
Kalbar,2016,3.58,6.98,13,"2,935,588","6,052,374","184,351"
Kalbar,2017,4.35,7.05,18,"2,992,349","6,520,453","174,351"
Kalbar,2018,4.48,7.12,25,"3,226,934","4,837,052","167,453"
Kalbar,2019,5.08,7.31,34,"8,902,463","3,906,962","219,426"
Kalbar,2020,5.46,7.37,41,"1,854,608","3,861,157","202,171"
Kalbar,2021,5.46,7.45,52,"2,411,392","4,539,711","230,269"
Kalbar,2022,5.58,7.59,60,"3,279,863","4,398,145","232,582"
Kalteng ,2013,4.18,7.79,2,"2,120,608","2,034,596","52,473"
Kalteng ,2014,4.00,7.82,4,"2,130,477","2,594,716","53,406"
Kalteng ,2015,3.74,8.03,7,"2,163,129","2,053,024","75,023"
Kalteng ,2016,4.12,8.13,9,"2,049,297","3,414,862","85,957"
Kalteng ,2017,4.81,8.29,9,"1,895,372","4,776,700","87,816"
Kalteng ,2018,4.92,8.37,9,"2,141,385","3,471,538","89,674"
Kalteng ,2019,5.54,8.51,9,"5,963,737","3,091,080","118,853"
Kalteng ,2020,5.68,8.59,9,"1,903,804","3,706,361","107,890"
Kalteng ,2021,5.68,8.64,11,"1,974,792","2,788,986","116,978"
Kalteng ,2022,5.78,8.65,12,"2,683,604","3,570,197","156,978"
Kalsel ,2013,4.58,7.59,4,"3,684,854","6,382,344","205,036"
Kalsel ,2014,4.20,7.60,3,"3,702,003","7,265,981","209,449"
Kalsel ,2015,3.97,7.76,8,"3,758,741","5,564,322","223,196"
Kalsel ,2016,4.41,7.89,13,"4,284,486","5,850,463","266,319"
Kalsel ,2017,4.97,7.99,18,"4,747,600","6,136,603","267,006"
Kalsel ,2018,5.23,8.00,21,"4,780,452","5,213,825","267,692"
Kalsel ,2019,5.67,8.20,30,"9,509,667","6,062,355","301,037"
Kalsel ,2020,5.86,8.29,33,"4,133,592","5,716,394","263,020"
Kalsel ,2021,5.86,8.34,35,"4,282,529","5,839,066","294,047"
Kalsel ,2022,5.88,8.46,39,"5,310,737","7,820,710","316,798"
Kaltim ,2013,5.63,8.87,3,"2,533,480","8,412,130","116,589"
Kaltim ,2014,5.40,9.04,3,"2,545,270","3,665,642","121,799"
Kaltim ,2015,5.24,9.15,8,"2,584,280","2,288,963","132,812"
Kaltim ,2016,5.84,9.24,11,"2,717,384","3,288,661","167,014"
Kaltim ,2017,6.00,9.36,12,"2,701,667","4,288,358","165,628"
Kaltim ,2018,6.14,9.48,12,"2,372,406","6,393,218","164,242"
Kaltim ,2019,6.34,9.70,22,"10,073,535","4,903,134","213,631"
Kaltim ,2020,6.43,9.77,24,"2,404,852","3,240,614","184,047"
Kaltim ,2021,6.43,9.84,28,"2,492,841","3,077,233","220,970"
Kaltim ,2022,6.60,9.92,35,"5,431,717","6,835,767","253,420"
Sulteng,2013,3.80,7.82,2,"1,794,164","3,045,274","54,555"
Sulteng,2014,3.50,7.89,2,"1,802,514","5,088,779","75,738"
Sulteng,2015,3.28,7.97,3,"1,830,139","3,896,613","67,769"
Sulteng,2016,3.51,8.12,4,"2,628,569","2,704,446","93,759"
Sulteng,2017,4.58,8.29,6,"2,767,320","5,868,947","98,759"
Sulteng,2018,4.51,8.52,8,"4,075,993","4,006,359","109,151"
Sulteng,2019,5.27,8.75,13,"3,144,536","5,849,637","132,743"
Sulteng,2020,5.52,8.83,16,"2,480,807","4,760,736","121,664"
Sulteng,2021,5.52,8.89,8,"3,732,957","6,194,369","133,641"
Sulteng,2022,5.60,8.89,10,"4,421,855","5,152,315","141,841"
Sultra,2013,3.71,8.79,4,"2,476,138","4,937,307","61,284"
Sultra,2014,3.50,8.86,7,"2,487,662","5,538,344","58,752"
Sultra,2015,3.43,8.88,8,"2,525,789","4,111,112","62,536"
Sultra,2016,3.91,8.32,8,"3,334,594","4,806,581","98,975"
Sultra,2017,4.72,8.46,11,"2,934,805","5,502,050","100,485"
Sultra,2018,4.83,8.69,11,"2,215,863","4,788,440","101,994"
Sultra,2019,5.58,8.91,11,"4,875,192","3,860,889","126,060"
Sultra,2020,5.73,9.04,12,"1,571,622","4,498,709","108,301"
Sultra,2021,5.73,9.13,23,"2,026,911","4,387,282","117,565"
Sultra,2022,5.78,9.25,3,"6,453,017","5,230,449","130,836"
Sulbar ,2013,3.59,6.87,2,"8,758,491","1,824,405","24,116"
Sulbar ,2014,3.00,6.88,3,"8,799,252","2,769,582","27,798"
Sulbar ,2015,2.70,6.94,5,"8,934,113","952,945","25,433"
Sulbar ,2016,3.02,7.14,5,"9,465,868","1,041,291","23,482"
Sulbar ,2017,4.03,7.31,6,"9,685,926","1,129,637","22,582"
Sulbar ,2018,4.14,7.50,9,"10,073,934","1,382,622","35,647"
Sulbar ,2019,4.73,7.73,14,"24,416,073","1,336,514","49,439"
Sulbar ,2020,5.33,7.89,14,"9,215,054","1,042,264","43,718"
Sulbar ,2021,5.33,7.96,14,"10,228,085","2,196,707","55,218"
Sulbar ,2022,5.49,8.08,17,"28,599,212","1,487,549","57,563"
Sulut,2013,4.65,8.79,3,"2,300,603","2,476,273","72,495"
Sulut,2014,4.30,8.86,6,"2,311,310","2,910,039","71,843"
Sulut,2015,4.11,8.88,7,"2,346,733","4,654,118","71,957"
Sulut,2016,4.64,8.96,10,"2,760,287","5,374,331","94,117"
Sulut,2017,5.29,9.14,12,"2,699,117","6,094,544","99,003"
Sulut,2018,5.33,9.24,13,"3,159,735","3,736,595","103,888"
Sulut,2019,5.69,9.43,17,"5,575,499","4,424,652","110,649"
Sulut,2020,5.93,9.49,18,"1,983,012","4,052,790","103,365"
Sulut,2021,5.93,9.62,23,"2,581,155","5,465,260","123,248"
Sulut,2022,5.87,9.68,24,"12,783,046","3,920,870","131,049"
Sulsel,2013,4.04,7.45,4,"833,345","15,181,252","218,343"
Sulsel,2014,3.90,7.49,7,"837,223","28,267,806","252,156"
Sulsel,2015,3.75,7.64,10,"850,056","19,973,269","268,325"
Sulsel,2016,4.26,7.75,18,"1,283,292","18,538,199","350,207"
Sulsel,2017,5.02,7.95,24,"1,054,041","17,103,129","348,427"
Sulsel,2018,5.10,8.02,24,"1,028,165","12,967,717","346,647"
Sulsel,2019,5.53,8.26,29,"1,346,611","28,766,892","394,459"
Sulsel,2020,5.80,8.38,32,"848,058","18,075,366","368,203"
Sulsel,2021,5.80,8.46,43,"1,188,830","11,119,208","423,120"
Sulsel,2022,5.92,8.63,45,"1,478,813","14,864,616","461,976"
Gorontalo              ,2013,3.73,6.96,2,"870,131","1,194,337","35,125"
Gorontalo              ,2014,3.50,6.97,3,"874,180","1,648,508","38,908"
Gorontalo              ,2015,3.26,7.05,5,"887,578","1,065,989","48,788"
Gorontalo              ,2016,3.72,7.12,10,"1,319,379","1,979,520","50,974"
Gorontalo              ,2017,4.63,7.28,15,"1,813,407","2,893,051","55,312"
Gorontalo              ,2018,4.75,7.46,23,"720,624","2,524,036","59,649"
Gorontalo              ,2019,5.57,7.69,29,"2,374,880","8,473,783","59,204"
Gorontalo              ,2020,5.61,7.82,30,"850,899","1,872,951","53,531"
Gorontalo              ,2021,5.61,7.90,39,"1,082,502","1,805,870","64,756"
Gorontalo              ,2022,5.62,8.02,43,"4,234,501","2,465,008","70,656"
Maluku                 ,2013,3.78,8.81,3,"1,049,576","1,787,307","23,857"
Maluku                 ,2014,3.50,9.15,6,"1,054,461","1,752,810","22,537"
Maluku                 ,2015,3.41,9.16,10,"1,070,622","1,199,999","33,491"
Maluku                 ,2016,3.83,9.27,11,"806,920","2,191,226","50,191"
Maluku                 ,2017,4.68,9.38,15,"759,365","3,182,452","51,200"
Maluku                 ,2018,4.68,9.58,18,"1,143,283","2,335,816","52,209"
Maluku                 ,2019,5.27,9.81,19,"2,071,851","1,593,273","67,558"
Maluku                 ,2020,5.65,9.93,19,"403,048","1,279,691","66,257"
Maluku                 ,2021,5.65,10.03,19,"639,765","2,332,638","71,706"
Maluku                 ,2022,5.77,10.19,22,"612,567","2,763,163","74,595"
Malut,2013,3.35,8.27,2,"431,605","421,944","15,869"
Malut,2014,3.00,8.34,2,"433,614","537,222","15,900"
Malut,2015,2.88,8.37,4,"440,259","436,571","18,830"
Malut,2016,3.21,8.52,7,"448,238","1,221,497","35,713"
Malut,2017,4.22,8.61,8,"434,771","2,006,423","34,713"
Malut,2018,4.24,8.72,10,"569,974","4,226,662","25,763"
Malut,2019,4.78,9.00,14,"1,594,047","1,495,393","36,759"
Malut,2020,5.03,9.04,28,"502,711","1,549,032","32,115"
Malut,2021,5.03,9.09,31,"672,705","1,593,180","40,249"
Malut,2022,5.27,9.24,35,"1,511,241","1,586,818","39,842"
Paba,2013,4.01,6.91,2,"415,078","349,229","15,301"
Paba,2014,3.70,6.96,2,"417,010","416,037","19,619"
Paba,2015,3.43,7.01,2,"423,401","257,319","22,662"
Paba,2016,3.73,7.06,5,"430,754","811,787","21,878"
Paba,2017,4.84,7.15,11,"463,579","1,366,254","22,878"
Paba,2018,5.07,7.27,11,"600,434","1,184,129","25,265"
Paba,2019,5.32,7.44,14,"1,739,299","1,043,855","29,038"
Paba,2020,5.46,7.60,14,"342,490","820,335","32,122"
Paba,2021,5.46,7.69,14,"485,005","987,279","32,086"
Paba,2022,5.54,7.84,15,"469,876","1,278,772","31,547"
Papua                  ,2013,2.71,5.74,3,"800,268","1,922,510","24,868"
Papua                  ,2014,2.40,5.76,3,"803,992","3,876,366","35,552"
Papua                  ,2015,2.13,5.99,5,"816,314","1,432,720","34,897"
Papua                  ,2016,2.41,6.15,11,"1,034,430","1,875,843","42,885"
Papua                  ,2017,3.50,6.27,14,"1,124,817","2,318,965","42,823"
Papua                  ,2018,3.30,6.52,21,"1,302,030","1,758,723","42,761"
Papua                  ,2019,3.35,6.65,22,"2,765,650","1,675,378","48,043"
Papua                  ,2020,3.35,6.69,24,"686,522","2,042,686","49,492"
Papua                  ,2021,3.35,6.76,25,"927,123","2,042,359","50,157"
Papua                  ,2022,3.22,7.02,35,"959,876","1,890,867","67,985"
